Company	Ticker
3M	MMM
American Express	AXP
Amgen	AMGN
Apple	AAPL
Boeing	BA
Caterpillar	CAT
Chevron	CVX
Cisco Systems	CSCO
The Coca-Cola Company	KO
Dow Inc.	DOW
Goldman Sachs	GS
The Home Depot	HD
Honeywell	HON
IBM	IBM
Intel	INTC
Johnson & Johnson	JNJ
JPMorgan Chase	JPM
McDonald's	MCD
Merck & Co.	MRK
Microsoft	MSFT
Nike	NKE
Procter & Gamble	PG
Salesforce	CRM
The Travelers Companies	TRV
UnitedHealth Group	UNH
Verizon Communications	VZ
Visa	V
Walmart	WMT
Walgreens Boots Alliance	WBA
The Walt Disney Company	DIS
